Date,SPY,RSP
2019-12-31,100.0,100.0
2020-01-02,100.94,100.29
2020-01-03,100.17,99.71
2020-01-06,100.55,99.84
2020-01-07,100.27,99.76
2020-01-08,100.81,100.05
2020-01-09,101.49,100.51
2020-01-10,101.2,100.2
2020-01-13,101.89,100.82
2020-01-14,101.74,101.02
2020-01-15,101.97,101.18
2020-01-16,102.82,102.12
2020-01-17,103.14,102.32
2020-01-21,102.93,101.89
2020-01-22,102.95,101.76
2020-01-23,103.06,101.99
2020-01-24,102.15,100.94
2020-01-27,100.51,99.28
2020-01-28,101.56,100.21
2020-01-29,101.48,99.9
2020-01-30,101.81,100.11
2020-01-31,99.96,98.12
2020-02-03,100.7,98.77
2020-02-04,102.24,100.23
2020-02-05,103.42,101.69
2020-02-06,103.77,101.66
2020-02-07,103.21,100.84
2020-02-10,103.98,101.28
2020-02-11,104.16,101.88
2020-02-12,104.84,102.58
2020-02-13,104.72,102.49
2020-02-14,104.89,102.51
2020-02-18,104.62,102.19
2020-02-19,105.12,102.56
2020-02-20,104.69,102.53
2020-02-21,103.61,101.6
2020-02-24,100.17,98.52
2020-02-25,97.14,95.21
2020-02-26,96.78,94.31
2020-02-27,92.44,90.37
2020-02-28,92.05,89.41
2020-03-02,96.03,92.83
2020-03-03,93.28,90.51
2020-03-04,97.2,94.08
2020-03-05,93.97,90.71
2020-03-06,92.42,88.85
2020-03-09,85.2,81.15
2020-03-10,89.61,85.06
2020-03-11,85.24,80.47
2020-03-12,77.09,72.35
2020-03-13,83.68,78.22
2020-03-16,74.52,68.8
2020-03-17,78.54,72.7
2020-03-18,74.57,67.97
2020-03-19,74.73,68.15
2020-03-20,71.5,64.84
2020-03-23,69.68,62.53
2020-03-24,75.99,69.21
2020-03-25,77.13,70.95
2020-03-26,81.63,75.03
2020-03-27,79.2,72.8
2020-03-30,81.77,74.71
2020-03-31,80.55,73.32
2020-04-01,76.93,69.71
2020-04-02,78.7,70.81
2020-04-03,77.56,69.66
2020-04-06,82.78,74.93
2020-04-07,82.86,75.54
2020-04-08,85.64,78.66
2020-04-09,86.94,80.48
2020-04-13,86.15,78.74
2020-04-14,88.69,80.82
2020-04-15,86.81,78.22
2020-04-16,87.22,78.22
2020-04-17,89.58,81.14
2020-04-20,88.0,79.47
2020-04-21,85.33,77.15
2020-04-22,87.22,78.6
2020-04-23,87.22,78.67
2020-04-24,88.43,79.8
2020-04-27,89.71,82.09
2020-04-28,89.3,83.22
2020-04-29,91.63,86.11
2020-04-30,90.78,83.9
2020-05-01,88.38,80.87
2020-05-04,88.62,80.93
2020-05-05,89.44,81.3
2020-05-06,88.84,80.13
2020-05-07,89.91,81.57
2020-05-08,91.4,83.8
2020-05-11,91.41,82.81
2020-05-12,89.59,80.64
2020-05-13,88.01,78.28
2020-05-14,89.06,79.49
2020-05-15,89.47,79.64
2020-05-18,92.19,83.99
2020-05-19,91.25,82.83
2020-05-20,92.8,84.34
2020-05-21,92.16,83.97
2020-05-22,92.33,84.04
2020-05-26,93.47,86.76
2020-05-27,94.86,88.91
2020-05-28,94.69,88.02
2020-05-29,95.11,87.88
2020-06-01,95.49,88.91
2020-06-02,96.28,90.04
2020-06-03,97.56,92.48
2020-06-04,97.31,92.95
2020-06-05,99.8,96.38
2020-06-08,101.01,98.69
2020-06-09,100.25,96.22
2020-06-10,99.69,93.85
2020-06-11,93.95,87.35
2020-06-12,95.07,89.1
2020-06-15,95.96,90.08
2020-06-16,97.81,91.96
2020-06-17,97.4,90.93
2020-06-18,97.44,91.25
2020-06-19,96.88,89.93
2020-06-22,97.5,90.03
2020-06-23,97.95,90.13
2020-06-24,95.45,87.15
2020-06-25,96.48,88.05
2020-06-26,94.19,86.26
